sailing_id,booking_ref,teu,shipper_id,roll_window,rolled_flag
SE1-V0,BK0,80,4517,7D,N
SE1-V0,BK1,1,2144,7D,N
SE1-V0,BK2,5,1968,7D,N
SE1-V0,BK3,80,2013,7D,N
SE1-V0,BK4,80,4622,30D,N
SE1-V0,BK5,1,5744,30D,N
SE1-V0,BK6,40,6054,10D,N
SE1-V0,BK7,40,2688,30D,N
SE1-V0,BK8,80,7101,30D,N
SE1-V0,BK9,2,1976,30D,N
SE1-V1,BK20,20,3945,14D,N
SE1-V1,BK21,5,9604,7D,N
SE1-V1,BK22,40,5717,14D,N
SE1-V1,BK23,80,7850,7D,Y
SE1-V1,BK24,3,9011,30D,N
SE1-V1,BK25,40,2271,7D,N
SE1-V1,BK26,40,6140,30D,N
SE1-V1,BK27,20,9137,30D,N
SE1-V1,BK28,80,2533,30D,N
SE1-V1,BK29,10,2064,21D,N
SE1-V1,BK30,1,8301,30D,N
SE1-V1,BK31,10,6685,30D,N
SE1-V2,BK40,3,7405,30D,N
SE1-V2,BK41,40,7580,7D,Y
SE1-V2,BK42,40,8053,14D,N
SE1-V2,BK43,40,6878,14D,N
SE1-V2,BK44,40,3887,10D,Y
SE1-V2,BK45,3,1197,10D,N
SE1-V2,BK46,40,5304,30D,N
SE1-V2,BK47,10,9758,7D,Y
SE1-V2,BK48,20,3056,30D,N
SE1-V3,BK60,40,2696,21D,N
SE1-V3,BK61,40,4122,30D,N
SE1-V3,BK62,2,2801,10D,N
SE1-V3,BK63,20,1003,30D,Y
SE1-V3,BK64,80,6957,10D,N
SE1-V3,BK65,80,4407,7D,Y
SE1-V3,BK66,80,5132,21D,Y
SE1-V3,BK67,20,3012,30D,N
SE1-V3,BK68,2,8634,30D,N
SE1-V3,BK69,40,3361,21D,N
SE1-V3,BK70,2,5337,30D,N
SE1-V3,BK71,40,9459,30D,N
SE1-V3,BK72,1,9654,10D,N
SE1-V4,BK80,10,3736,30D,N
SE1-V4,BK81,20,9873,30D,N
SE1-V4,BK82,40,4197,14D,N
SE1-V4,BK83,5,4714,30D,N
SE1-V4,BK84,5,1474,30D,N
SE1-V4,BK85,1,5246,30D,N
SE1-V5,BK100,20,4716,7D,N
SE1-V5,BK101,40,8907,10D,N
SE1-V5,BK102,80,8855,30D,N
SE1-V5,BK103,20,2964,30D,N
SE1-V5,BK104,40,4265,30D,N
SE1-V5,BK105,40,6447,10D,N
SE1-V5,BK106,2,7485,30D,N
SE1-V5,BK107,40,2391,21D,N
SE1-V5,BK108,3,1451,10D,N
SE1-V5,BK109,3,3394,30D,N
EU1-V10,BK100,3,2683,7D,Y
EU1-V10,BK101,40,8107,30D,N
EU1-V10,BK102,5,1458,30D,N
EU1-V10,BK103,10,4940,10D,N
EU1-V10,BK104,80,7865,14D,N
EU1-V10,BK105,3,6796,7D,N
EU1-V10,BK106,40,9466,30D,N
EU1-V10,BK107,40,9219,30D,N
EU1-V10,BK108,3,9364,30D,Y
EU1-V10,BK109,1,4000,30D,N
EU1-V10,BK110,80,3454,7D,N
EU1-V10,BK111,3,2971,10D,N
EU1-V10,BK112,40,9492,7D,N
EU1-V11,BK120,10,9318,7D,N
EU1-V11,BK121,40,2038,30D,Y
EU1-V11,BK122,40,9282,14D,N
EU1-V11,BK123,80,5541,30D,N
EU1-V11,BK124,40,8832,30D,N
EU1-V11,BK125,40,5253,10D,N
EU1-V11,BK126,40,3246,10D,N
EU1-V11,BK127,40,6177,7D,N
EU1-V12,BK140,20,3248,10D,N
EU1-V12,BK141,40,2542,10D,N
EU1-V12,BK142,40,4665,21D,Y
EU1-V12,BK143,3,9447,30D,N
EU1-V12,BK144,40,6842,14D,N
EU1-V12,BK145,20,1319,7D,N
EU1-V12,BK146,20,1296,30D,N
EU1-V13,BK160,2,1648,7D,N
EU1-V13,BK161,3,7918,14D,N
EU1-V13,BK162,10,9434,21D,Y
EU1-V13,BK163,80,2465,21D,N
EU1-V13,BK164,10,4003,7D,N
EU1-V13,BK165,40,1275,7D,N
EU1-V13,BK166,2,4643,30D,N
EU1-V13,BK167,2,8434,14D,N
EU1-V14,BK180,40,2793,30D,N
EU1-V14,BK181,3,4305,14D,Y
EU1-V14,BK182,10,4372,30D,N
EU1-V14,BK183,10,3914,21D,N
EU1-V14,BK184,10,5103,14D,N
EU1-V15,BK200,40,8080,7D,N
EU1-V15,BK201,40,7440,30D,N
EU1-V15,BK202,40,4761,14D,N
EU1-V15,BK203,20,3289,10D,N
EU1-V15,BK204,40,3126,14D,N
