sailing_id,service_id,vessel_imo,planned_departure,booked_teu,capacity_teu
SE1-V0,SE1,9201345,2026-08-03 04:00,11843,14150
SE1-V1,SE1,9201345,2026-08-10 04:00,13343,14150
SE1-V2,SE1,9201345,2026-08-17 04:00,10301,14150
SE1-V3,SE1,9201345,2026-08-24 04:00,13711,14150
SE1-V4,SE1,9201345,2026-08-31 04:00,12027,14150
SE1-V5,SE1,9201345,2026-09-07 04:00,11178,14150
EU1-V10,EU1,9512678,2026-08-05 04:00,21855,23250
EU1-V11,EU1,9512678,2026-08-12 04:00,21180,23250
EU1-V12,EU1,9512678,2026-08-19 04:00,17344,23250
EU1-V13,EU1,9512678,2026-08-26 04:00,19948,23250
EU1-V14,EU1,9512678,2026-09-02 04:00,16833,23250
EU1-V15,EU1,9512678,2026-09-09 04:00,17042,23250
IP1-V20,IP1,9647852,2026-08-07 04:00,13226,13650
IP1-V21,IP1,9647852,2026-08-14 04:00,10278,13650
IP1-V22,IP1,9647852,2026-08-21 04:00,12230,13650
IP1-V23,IP1,9647852,2026-08-28 04:00,13854,13650
IP1-V24,IP1,9647852,2026-09-04 04:00,13513,13650
IP1-V25,IP1,9647852,2026-09-11 04:00,12339,13650
SE1-V30,SE1,9359011,2026-08-03 04:00,17146,19800
SE1-V31,SE1,9359011,2026-08-10 04:00,16176,19800
SE1-V32,SE1,9359011,2026-08-17 04:00,17028,19800
SE1-V33,SE1,9359011,2026-08-24 04:00,20651,19800
SE1-V34,SE1,9359011,2026-08-31 04:00,15642,19800
SE1-V35,SE1,9359011,2026-09-07 04:00,17899,19800
EU1-V40,EU1,9832110,2026-08-05 04:00,12248,11800
EU1-V41,EU1,9832110,2026-08-12 04:00,9286,11800
EU1-V42,EU1,9832110,2026-08-19 04:00,12496,11800
EU1-V43,EU1,9832110,2026-08-26 04:00,11328,11800
EU1-V44,EU1,9832110,2026-09-02 04:00,8732,11800
EU1-V45,EU1,9832110,2026-09-09 04:00,9381,11800
IP1-V50,IP1,9710544,2026-08-07 04:00,18283,20800
IP1-V51,IP1,9710544,2026-08-14 04:00,19427,20800
IP1-V52,IP1,9710544,2026-08-21 04:00,20300,20800
IP1-V53,IP1,9710544,2026-08-28 04:00,16473,20800
IP1-V54,IP1,9710544,2026-09-04 04:00,19281,20800
IP1-V55,IP1,9710544,2026-09-11 04:00,17763,20800
SE1-V60,SE1,9667018,2026-08-03 04:00,27776,28000
SE1-V61,SE1,9667018,2026-08-10 04:00,27216,28000
SE1-V62,SE1,9667018,2026-08-17 04:00,26600,28000
SE1-V63,SE1,9667018,2026-08-24 04:00,23380,28000
SE1-V64,SE1,9667018,2026-08-31 04:00,21840,28000
SE1-V65,SE1,9667018,2026-09-07 04:00,23576,28000
EU1-V70,EU1,9510125,2026-08-05 04:00,8427,9200
EU1-V71,EU1,9510125,2026-08-12 04:00,8592,9200
EU1-V72,EU1,9510125,2026-08-19 04:00,9770,9200
EU1-V73,EU1,9510125,2026-08-26 04:00,9853,9200
EU1-V74,EU1,9510125,2026-09-02 04:00,8565,9200
EU1-V75,EU1,9510125,2026-09-09 04:00,9908,9200
