ID_NUMBER,REL_NUM,CL_CRANE_VESSEL,DELAY_CATEGORY,DELAY_REASON,DELAY_DURATION_HRS,CRANE_REL_NUM,FK_TERMINAL_CALL,FK_TDR_REL
0,1,C,MSC,General delay,0.2863,4,0,1
0,1,C,DIN,Missing / late data,0.5015,5,0,1
0,1,C,LOT,Labour rest period,1.3438,5,0,1
1,1,C,PLT,Berth / yard planning,0.1318,2,1,1
5,1,V,LAS,Lashing / unlashing,2.7377,,5,1
5,1,V,CAE,Awaiting export cargo,2.465,,5,1
8,1,V,HLD,Hatch lid handling,3.6925,,8,1
8,1,V,LOT,Labour rest period,2.1263,,8,1
10,1,V,HLD,Hatch lid handling,3.0683,,10,1
10,1,V,UCC,Out-of-gauge handling,3.77,,10,1
11,1,C,HLD,Hatch lid handling,1.2753,1,11,1
11,1,C,CAE,Awaiting export cargo,1.2487,1,11,1
11,1,C,MSC,General delay,0.2131,1,11,1
12,1,C,LOT,Labour rest period,0.6867,4,12,1
12,1,C,LOT,Labour rest period,1.2118,4,12,1
12,1,C,LOT,Labour rest period,0.7563,6,12,1
12,1,C,LOT,Labour rest period,0.4753,6,12,1
12,1,C,AIP,Personnel incident,0.7633,6,12,1
13,1,C,PLT,Berth / yard planning,0.4887,4,13,1
13,1,C,LOT,Labour rest period,1.5507,4,13,1
13,1,C,MSC,General delay,1.4932,4,13,1
13,1,V,HLD,Hatch lid handling,1.6017,,13,1
13,1,V,UCC,Out-of-gauge handling,2.2793,,13,1
14,1,V,HLD,Hatch lid handling,2.9344,,14,1
14,1,V,HLD,Hatch lid handling,2.5694,,14,1
15,1,V,CAE,Awaiting export cargo,3.2345,,15,1
18,1,C,CAE,Awaiting export cargo,1.0813,4,18,1
18,1,C,PLT,Berth / yard planning,1.4666,4,18,1
20,1,C,AIP,Personnel incident,0.1261,2,20,1
20,1,C,LOT,Labour rest period,0.3493,2,20,1
20,1,C,LOT,Labour rest period,0.8328,2,20,1
21,1,V,SPE,Vessel equipment not ready,3.285,,21,1
21,1,V,MSC,General delay,1.3773,,21,1
22,1,C,HLD,Hatch lid handling,0.8809,1,22,1
22,1,C,FTE,Crane outage,1.5473,6,22,1
22,1,C,MSC,General delay,0.2991,6,22,1
22,1,C,LAS,Lashing / unlashing,0.368,6,22,1
28,1,V,LOT,Labour rest period,2.259,,28,1
28,1,V,LOT,Labour rest period,3.6827,,28,1
29,1,C,HLD,Hatch lid handling,0.4981,3,29,1
29,1,C,LAS,Lashing / unlashing,1.255,3,29,1
30,1,C,LAS,Lashing / unlashing,0.7808,2,30,1
32,1,C,SPE,Vessel equipment not ready,0.788,3,32,1
32,1,C,FTE,Crane outage,1.0446,3,32,1
33,1,C,CAE,Awaiting export cargo,0.3192,1,33,1
33,1,C,UCC,Out-of-gauge handling,1.5675,3,33,1
33,1,C,FTE,Crane outage,1.5793,3,33,1
33,1,C,LAS,Lashing / unlashing,1.1436,3,33,1
33,1,C,CAE,Awaiting export cargo,0.5288,4,33,1
33,1,C,UCC,Out-of-gauge handling,0.3926,4,33,1
33,1,V,LOT,Labour rest period,3.5146,,33,1
33,1,V,AIP,Personnel incident,1.5885,,33,1
34,1,V,LOT,Labour rest period,2.7763,,34,1
34,1,V,HLD,Hatch lid handling,3.6488,,34,1
37,1,C,LOT,Labour rest period,0.961,2,37,1
39,1,V,SPE,Vessel equipment not ready,3.278,,39,1
41,1,V,LAS,Lashing / unlashing,3.5541,,41,1
41,1,V,MSC,General delay,3.2233,,41,1
43,1,C,LOT,Labour rest period,0.6297,2,43,1
44,1,V,HLD,Hatch lid handling,0.9634,,44,1
45,1,C,LOT,Labour rest period,0.6818,1,45,1
45,1,C,AIP,Personnel incident,0.2882,1,45,1
47,1,C,HLD,Hatch lid handling,0.906,1,47,1
47,1,C,CAE,Awaiting export cargo,0.8975,1,47,1
51,1,V,MSC,General delay,2.3572,,51,1
52,1,C,LAS,Lashing / unlashing,0.7884,1,52,1
52,1,C,FTE,Crane outage,0.4894,1,52,1
53,1,C,MSC,General delay,0.9796,2,53,1
53,1,C,WEA,Fog / high wind,1.0027,2,53,1
53,1,C,LOT,Labour rest period,0.3186,2,53,1
53,1,C,FTE,Crane outage,1.1725,3,53,1
53,1,C,LOT,Labour rest period,1.4874,3,53,1
54,1,C,HLD,Hatch lid handling,1.5594,1,54,1
54,1,C,HLD,Hatch lid handling,1.055,1,54,1
55,1,C,FTE,Crane outage,1.4088,1,55,1
55,1,C,DIN,Missing / late data,1.3675,1,55,1
56,1,C,HLD,Hatch lid handling,1.0118,3,56,1
56,1,C,HLD,Hatch lid handling,0.3055,4,56,1
56,1,C,LOT,Labour rest period,0.1929,4,56,1
57,1,V,MSC,General delay,3.5903,,57,1
62,1,C,LOT,Labour rest period,0.5738,1,62,1
62,1,C,MSC,General delay,0.4235,1,62,1
63,1,V,HLD,Hatch lid handling,2.5055,,63,1
63,1,V,LOT,Labour rest period,1.7478,,63,1
64,1,V,LOT,Labour rest period,2.9856,,64,1
64,1,V,HLD,Hatch lid handling,2.2175,,64,1
66,1,C,DIN,Missing / late data,0.224,4,66,1
66,1,C,MSC,General delay,0.2267,4,66,1
66,1,C,HLD,Hatch lid handling,1.4594,4,66,1
67,1,C,HLD,Hatch lid handling,1.5025,3,67,1
68,1,C,HLD,Hatch lid handling,1.3721,1,68,1
68,1,C,LAS,Lashing / unlashing,0.6107,1,68,1
68,1,C,CAE,Awaiting export cargo,0.6523,1,68,1
68,1,V,HLD,Hatch lid handling,2.2454,,68,1
68,1,V,FTE,Crane outage,1.4405,,68,1
69,1,C,SPE,Vessel equipment not ready,1.3134,3,69,1
69,1,C,FTE,Crane outage,0.76,3,69,1
69,1,C,FTE,Crane outage,1.3976,3,69,1
70,1,C,TID,Tidal window,0.9317,5,70,1
70,1,C,FTE,Crane outage,1.4495,5,70,1
74,1,C,CAE,Awaiting export cargo,0.8336,2,74,1
74,1,C,DIN,Missing / late data,0.2812,2,74,1
76,1,C,HLD,Hatch lid handling,1.1131,2,76,1
76,1,C,LOT,Labour rest period,0.6939,2,76,1
76,1,C,LOT,Labour rest period,0.6921,2,76,1
78,1,V,LAS,Lashing / unlashing,0.5088,,78,1
80,1,C,LOT,Labour rest period,1.0017,1,80,1
80,1,C,LOT,Labour rest period,1.1493,1,80,1
80,1,C,MSC,General delay,0.5988,1,80,1
82,1,C,LIA,Industrial stoppage,1.3655,3,82,1
82,1,C,LOT,Labour rest period,0.1542,3,82,1
83,1,V,LAS,Lashing / unlashing,2.9019,,83,1
83,1,V,HLD,Hatch lid handling,1.7893,,83,1
87,1,C,LOT,Labour rest period,1.2712,2,87,1
87,1,V,MSC,General delay,3.5188,,87,1
87,1,V,HLD,Hatch lid handling,2.3135,,87,1
88,1,C,DIN,Missing / late data,0.4173,4,88,1
88,1,C,LAS,Lashing / unlashing,0.2321,4,88,1
88,1,C,HLD,Hatch lid handling,1.184,4,88,1
90,1,C,HLD,Hatch lid handling,0.5925,1,90,1
92,1,C,LOT,Labour rest period,0.4096,4,92,1
92,1,C,AIP,Personnel incident,0.5463,4,92,1
92,1,C,LOT,Labour rest period,0.9057,4,92,1
93,1,C,HLD,Hatch lid handling,0.3281,1,93,1
93,1,C,PLT,Berth / yard planning,0.5689,1,93,1
95,1,V,LOT,Labour rest period,2.9718,,95,1
95,1,V,LOT,Labour rest period,1.876,,95,1
99,1,C,PLT,Berth / yard planning,0.3332,2,99,1
101,1,C,MSC,General delay,0.9767,2,101,1
101,1,C,CAE,Awaiting export cargo,1.2959,2,101,1
102,1,C,CAE,Awaiting export cargo,0.8188,1,102,1
102,1,C,LOT,Labour rest period,0.6577,1,102,1
102,1,C,LOT,Labour rest period,1.4301,1,102,1
103,1,C,FTE,Crane outage,1.4615,2,103,1
103,1,C,DIN,Missing / late data,0.645,2,103,1
103,1,C,LOT,Labour rest period,0.8731,2,103,1
104,1,V,LOT,Labour rest period,1.6838,,104,1
104,1,V,LOT,Labour rest period,0.6753,,104,1
