ID,DRC_CODE,RESPONSIBILITY,DRC_NAME
1,LOT,T,LABOUR - OTHER
2,HLD,T,HATCH LIDS
3,FTE,T,FAILURE OR UNAVAILABILITY OF TERMINAL EQUIPMENT
4,MSC,,MISCELLANEOUS
5,CAE,V,CARGO - AWAITING EXPORTS
6,LAS,T,LASHING/UNLASHING
7,DIN,V,DEFICIENT OR INADEQUATE INFORMATION
8,AIP,T,ACCIDENT INVOLVING PERSONNEL
9,UCC,V,NON-CONTAINERISED CARGO / OUT OF GAUGE
10,SPE,V,"SHIP-PERSONNEL, EQUIPMENT NOT READY"
11,PLT,T,PLANNING (TERMINAL)
12,WEA,V,WEATHER
13,TID,V,TIDAL RESTRICTIONS
14,LIA,T,LABOUR - STOPPAGE DUE TO INDUSTRIAL ACTION
