ID_NUMBER,REL_NUM,CL_SUMMARY_TYPE,CTR_OPERATOR_BIC,CRANE_ID,NO_OF_MOVES,MOVE_DESCRIPTION,TYPE_OF_MOVE,EQ_TYPE,CONTAINER_SIZE,EMPTY_FULL,DEEP_SHORT_SEA,TRANSHIPMENT_FLAG,FK_TERMINAL_CALL,FK_TDR_REL
0,1,O,WHL,,354,LOAD_FUL_45,LOAD,CN,45,FUL,S,,0,1
0,1,O,WHL,,372,DISC_FUL_40,DISC,CN,40,FUL,,,0,1
0,1,O,WHL,,80,RDR_MT_40,RDR,CN,40,MT,D,,0,1
0,1,O,WHL,,44,RSOB_FUL_40,RSOB,CN,40,FUL,D,,0,1
0,1,O,WHL,,35,TSM_FUL_45,TSM,CN,45,FUL,D,Y,0,1
0,1,O,WHL,,1,MCR_FUL_20,MCR,CN,20,FUL,D,,0,1
0,1,O,HLC,,850,LOAD_FUL_40,LOAD,CN,40,FUL,D,,0,1
0,1,O,HLC,,893,DISC_FUL_45,DISC,CN,45,FUL,S,,0,1
0,1,O,HLC,,191,RDR_MT_45,RDR,CN,45,MT,D,,0,1
0,1,O,HLC,,106,RSOB_MT_45,RSOB,CN,45,MT,D,,0,1
0,1,O,HLC,,85,TSM_FUL_20,TSM,CN,20,FUL,S,Y,0,1
0,1,O,HLC,,1,MCR_FUL_40,MCR,CN,40,FUL,S,,0,1
0,1,O,EMC,,709,LOAD_FUL_20,LOAD,CN,20,FUL,S,,0,1
0,1,O,EMC,,744,DISC_FUL_45,DISC,CN,45,FUL,,,0,1
0,1,O,EMC,,159,RDR_FUL_45,RDR,CN,45,FUL,S,,0,1
0,1,O,EMC,,89,RSOB_FUL_45,RSOB,CN,45,FUL,,,0,1
0,1,O,EMC,,71,TSM_FUL_45,TSM,CN,45,FUL,D,Y,0,1
0,1,O,HMM,,425,LOAD_FUL_40,LOAD,CN,40,FUL,D,,0,1
0,1,O,HMM,,446,DISC_FUL_20,DISC,CN,20,FUL,S,,0,1
0,1,O,HMM,,96,RDR_FUL_20,RDR,CN,20,FUL,D,,0,1
0,1,O,HMM,,53,RSOB_MT_20,RSOB,CN,20,MT,S,,0,1
0,1,O,HMM,,42,TSM_FUL_40,TSM,CN,40,FUL,,Y,0,1
0,1,O,MSK,,1417,LOAD_MT_20,LOAD,CN,20,MT,D,,0,1
0,1,O,MSK,,1488,DISC_FUL_45,DISC,CN,45,FUL,D,,0,1
0,1,O,MSK,,319,RDR_FUL_40,RDR,CN,40,FUL,S,,0,1
0,1,O,MSK,,177,RSOB_FUL_45,RSOB,CN,45,FUL,S,,0,1
