event_id,berth,vessel_id,arrival,departure,total_moves,cranes,moves_per_hour,op_hours
E1,B1,V1001,2026-08-17 09:02,2026-08-23 05:44,9262,3,65,140.7
E2,B2,V1002,2026-08-18 17:06,2026-08-27 09:54,16315,4,78,208.8
E3,B3,V1003,2026-08-19 09:30,2026-09-02 19:48,22730,3,65,346.3
E4,B1,V1004,2026-08-20 02:50,2026-08-28 08:14,14252,4,72,197.4
E5,B2,V1005,2026-08-21 11:54,2026-08-26 15:24,9002,3,72,123.5
E6,B3,V1006,2026-08-22 12:18,2026-09-04 02:24,23900,3,79,302.1
E7,B1,V1007,2026-08-23 01:15,2026-08-29 02:57,11772,2,80,145.7
E8,B2,V1008,2026-08-17 11:59,2026-09-07 00:11,32201,5,65,492.2
E9,B3,V1009,2026-08-18 16:50,2026-08-26 08:08,13272,2,72,183.3
E10,B1,V1010,2026-08-19 09:59,2026-09-02 04:41,21826,3,66,330.7
E11,B2,V1011,2026-08-20 05:33,2026-08-25 03:27,8817,2,74,117.9
E12,B3,V1012,2026-08-21 06:18,2026-09-02 12:12,15001,5,51,293.9
E13,B1,V1013,2026-08-22 11:15,2026-09-09 08:39,23088,6,53,429.4
E14,B2,V1014,2026-08-23 05:49,2026-08-28 16:13,10387,2,79,130.4
