gate_ref,cargo_category,dwell_days,free_time_days,demurrage_rate_usd_day
G1,EXP,12,7,35
G2,EXP,1,7,0
G3,IMP-RETAIL,0,4,0
G4,TRANSSHIP,3,0,25
G5,IMP-AUTO,10,5,0
G6,IMP-AUTO,5,5,0
G7,TRANSSHIP,1,0,35
G8,REEFER,0,7,0
G9,TRANSSHIP,10,0,0
G10,IMP-RETAIL,6,4,0
G11,IMP-AUTO,8,5,35
G12,IMP-AUTO,6,5,25
G13,IMP-AUTO,4,5,25
G14,IMP-RETAIL,6,4,0
G15,TRANSSHIP,11,0,25
G16,REEFER,9,7,25
G17,IMP-RETAIL,2,4,25
G18,IMP-AUTO,12,5,0
G19,TRANSSHIP,6,0,0
G20,IMP-AUTO,7,5,0
G21,IMP-RETAIL,9,4,35
G22,TRANSSHIP,1,0,0
G23,EXP,9,7,35
G24,TRANSSHIP,11,0,0
G25,REEFER,10,7,25
G26,TRANSSHIP,10,0,35
G27,TRANSSHIP,11,0,0
G28,IMP-AUTO,11,5,0
G29,EXP,4,7,35
G30,TRANSSHIP,11,0,0
G31,EXP,9,7,35
G32,REEFER,2,7,0
G33,IMP-AUTO,2,5,0
G34,IMP-RETAIL,8,4,0
G35,IMP-AUTO,7,5,35
G36,IMP-RETAIL,11,4,35
G37,REEFER,8,7,0
G38,TRANSSHIP,5,0,0
G39,TRANSSHIP,0,0,25
G40,TRANSSHIP,6,0,0
G41,REEFER,7,7,25
G42,EXP,7,7,25
G43,REEFER,3,7,35
G44,IMP-RETAIL,2,4,35
G45,REEFER,8,7,35
G46,IMP-RETAIL,7,4,0
G47,REEFER,7,7,0
G48,EXP,1,7,0
G49,REEFER,7,7,0
G50,TRANSSHIP,4,0,0
G51,EXP,6,7,0
G52,TRANSSHIP,11,0,0
G53,IMP-RETAIL,12,4,0
G54,IMP-RETAIL,11,4,0
G55,IMP-RETAIL,3,4,0
G56,IMP-RETAIL,9,4,0
G57,IMP-RETAIL,1,4,0
G58,IMP-AUTO,2,5,0
G59,TRANSSHIP,11,0,25
G60,EXP,7,7,0
G61,IMP-RETAIL,11,4,0
G62,TRANSSHIP,2,0,0
G63,IMP-AUTO,3,5,0
G64,IMP-AUTO,2,5,0
G65,IMP-RETAIL,4,4,0
G66,REEFER,3,7,0
G67,IMP-RETAIL,2,4,25
G68,TRANSSHIP,6,0,35
G69,IMP-RETAIL,6,4,35
G70,EXP,12,7,35
G71,TRANSSHIP,7,0,0
G72,IMP-AUTO,9,5,0
G73,TRANSSHIP,2,0,0
G74,IMP-AUTO,10,5,0
G75,IMP-AUTO,5,5,35
G76,IMP-AUTO,1,5,35
G77,EXP,6,7,0
G78,IMP-AUTO,12,5,0
G79,IMP-AUTO,1,5,35
G80,TRANSSHIP,6,0,0
G81,IMP-AUTO,4,5,35
G82,TRANSSHIP,11,0,25
G83,TRANSSHIP,8,0,0
G84,IMP-RETAIL,6,4,0
G85,EXP,0,7,25
G86,REEFER,11,7,0
G87,EXP,4,7,35
G88,IMP-AUTO,7,5,0
G89,TRANSSHIP,7,0,0
G90,EXP,2,7,35
G91,IMP-RETAIL,2,4,35
G92,IMP-RETAIL,12,4,0
G93,EXP,9,7,35
G94,REEFER,2,7,0
G95,IMP-AUTO,5,5,0
G96,EXP,4,7,0
G97,IMP-AUTO,5,5,0
G98,EXP,8,7,0
G99,TRANSSHIP,6,0,0
G100,IMP-AUTO,9,5,25
G101,REEFER,4,7,0
G102,IMP-RETAIL,12,4,35
G103,TRANSSHIP,5,0,0
G104,REEFER,6,7,0
G105,IMP-RETAIL,12,4,25
G106,IMP-RETAIL,7,4,0
G107,REEFER,5,7,35
G108,EXP,12,7,35
G109,IMP-RETAIL,4,4,0
G110,IMP-AUTO,6,5,35
G111,IMP-AUTO,2,5,35
G112,TRANSSHIP,6,0,25
G113,REEFER,1,7,0
G114,EXP,7,7,0
G115,EXP,10,7,0
G116,REEFER,0,7,35
G117,IMP-AUTO,4,5,0
G118,REEFER,9,7,35
G119,EXP,11,7,0
G120,EXP,2,7,0
G121,REEFER,6,7,0
G122,EXP,6,7,0
G123,IMP-RETAIL,6,4,0
G124,IMP-AUTO,10,5,0
G125,TRANSSHIP,10,0,0
G126,REEFER,8,7,25
G127,REEFER,9,7,25
G128,IMP-AUTO,1,5,35
G129,EXP,1,7,25
G130,EXP,9,7,0
G131,IMP-RETAIL,4,4,0
G132,EXP,12,7,35
G133,IMP-AUTO,1,5,0
G134,REEFER,2,7,0
G135,EXP,5,7,0
G136,IMP-RETAIL,12,4,0
G137,REEFER,7,7,0
G138,TRANSSHIP,8,0,0
G139,IMP-RETAIL,7,4,35
G140,IMP-RETAIL,10,4,0
G141,IMP-RETAIL,5,4,0
G142,TRANSSHIP,12,0,0
G143,IMP-AUTO,8,5,35
G144,IMP-RETAIL,7,4,35
G145,IMP-AUTO,6,5,0
G146,IMP-AUTO,8,5,0
G147,IMP-AUTO,7,5,0
G148,IMP-AUTO,12,5,0
G149,IMP-AUTO,1,5,0
G150,EXP,2,7,0
G151,IMP-AUTO,0,5,0
G152,EXP,2,7,0
G153,IMP-RETAIL,7,4,0
G154,TRANSSHIP,1,0,0
G155,EXP,3,7,0
G156,REEFER,4,7,0
G157,REEFER,0,7,0
G158,IMP-AUTO,8,5,0
G159,REEFER,10,7,35
G160,REEFER,3,7,0
G161,TRANSSHIP,2,0,25
G162,REEFER,4,7,0
G163,IMP-AUTO,9,5,35
G164,TRANSSHIP,7,0,0
G165,IMP-RETAIL,9,4,0
G166,IMP-AUTO,7,5,35
G167,REEFER,8,7,0
G168,REEFER,2,7,0
G169,IMP-AUTO,3,5,0
G170,IMP-AUTO,1,5,25
G171,EXP,12,7,25
G172,EXP,8,7,35
G173,REEFER,8,7,0
G174,IMP-RETAIL,7,4,25
G175,REEFER,0,7,0
G176,IMP-RETAIL,11,4,25
G177,TRANSSHIP,8,0,35
G178,IMP-AUTO,4,5,0
G179,REEFER,11,7,25
G180,REEFER,8,7,0
G181,REEFER,6,7,0
G182,EXP,6,7,0
G183,REEFER,11,7,0
G184,TRANSSHIP,3,0,0
G185,TRANSSHIP,0,0,0
G186,IMP-AUTO,9,5,0
G187,EXP,2,7,25
G188,IMP-RETAIL,4,4,0
G189,EXP,4,7,35
G190,EXP,1,7,25
G191,REEFER,5,7,25
G192,EXP,0,7,25
G193,IMP-AUTO,5,5,25
G194,TRANSSHIP,3,0,25
G195,TRANSSHIP,7,0,0
G196,TRANSSHIP,5,0,0
G197,EXP,4,7,0
G198,REEFER,12,7,0
G199,REEFER,11,7,0
G200,REEFER,6,7,25
G201,REEFER,0,7,25
G202,EXP,5,7,0
G203,TRANSSHIP,9,0,35
G204,EXP,2,7,25
G205,EXP,4,7,0
G206,EXP,4,7,0
G207,IMP-AUTO,9,5,35
G208,IMP-AUTO,2,5,0
G209,REEFER,6,7,0
G210,IMP-AUTO,7,5,0
G211,IMP-RETAIL,2,4,0
G212,IMP-AUTO,3,5,35
G213,TRANSSHIP,10,0,35
G214,IMP-AUTO,7,5,25
G215,IMP-AUTO,5,5,25
G216,TRANSSHIP,6,0,25
G217,TRANSSHIP,3,0,0
G218,TRANSSHIP,3,0,0
G219,EXP,4,7,0
G220,IMP-AUTO,7,5,25
