ts_id,mother_vessel,feeder_vessel,teu_transshipped,connection_status,cutoff_gap_hrs
TS1,V1001,V1501,2184,MISSED,4.0
TS2,V1001,V1506,2488,LATE,8.2
TS3,V1001,V1509,882,MISSED,5.4
TS4,V1001,V1571,2926,LATE,5.4
TS5,V1001,V1516,585,CUTOFF,3.1
TS6,V1002,V1582,795,MISSED,2.8
TS7,V1002,V1527,2029,MISSED,7.4
TS8,V1003,V1518,3155,CUTOFF,6.7
TS9,V1003,V1520,1715,CUTOFF,4.0
TS10,V1003,V1545,3092,CUTOFF,2.4
TS11,V1003,V1566,1069,MISSED,4.1
TS12,V1003,V1539,2247,MISSED,2.1
TS13,V1003,V1570,1157,ONTIME,4.1
TS14,V1004,V1591,2493,CUTOFF,8.3
TS15,V1004,V1551,614,MISSED,7.0
TS16,V1004,V1573,2629,ONTIME,7.3
TS17,V1004,V1579,1338,ONTIME,4.6
TS18,V1004,V1509,1437,ONTIME,7.5
TS19,V1005,V1526,3137,ONTIME,4.7
TS20,V1005,V1505,2067,LATE,5.1
TS21,V1005,V1558,183,MISSED,2.5
TS22,V1005,V1519,229,LATE,6.3
TS23,V1006,V1581,1833,LATE,3.5
TS24,V1006,V1567,992,CUTOFF,3.3
TS25,V1007,V1519,2967,CUTOFF,3.5
TS26,V1007,V1534,799,ONTIME,2.5
TS27,V1008,V1541,249,MISSED,8.9
TS28,V1008,V1583,3185,CUTOFF,8.0
TS29,V1008,V1526,560,MISSED,2.7
TS30,V1008,V1556,157,ONTIME,7.0
TS31,V1009,V1580,2065,ONTIME,6.3
TS32,V1009,V1542,3089,MISSED,3.1
TS33,V1009,V1533,247,CUTOFF,2.3
TS34,V1009,V1566,2796,ONTIME,5.6
TS35,V1009,V1536,1321,MISSED,4.8
TS36,V1010,V1519,2463,CUTOFF,3.6
TS37,V1010,V1586,1044,LATE,7.9
