move_id,event_id,move_type,cargo_type,yard_slot
M1,E1,DSC,IMP,31
M2,E1,LDS,TRX,27
M3,E1,DSC,EXP,18
M4,E1,DSC,TRI,22
M5,E1,DSC,TRX,8
M6,E1,DSC,IMP,1
M7,E1,DSC,TRX,12
M8,E1,LDS,EXP,29
M9,E1,LDS,EXP,27
M10,E1,LDS,IMP,26
M11,E1,LDS,EXP,1
M12,E1,DSC,TRI,2
M13,E1,DSC,TRX,39
M14,E1,LDS,IMP,3
M15,E1,TSM,EXP,29
M16,E1,DSC,TRI,19
M17,E1,LDS,IMP,6
M18,E1,DSC,EXP,1
M19,E1,LDS,TRI,40
M20,E1,LDS,TRX,37
M21,E1,DSC,TRX,12
M22,E1,LDS,TRI,15
M23,E1,TSS,EXP,13
M24,E1,DSC,EXP,25
M25,E1,TSS,IMP,27
M26,E1,DSC,IMP,3
M27,E1,LDS,TRI,16
M28,E1,RHL,TRX,17
M29,E1,LDS,TRX,19
M30,E1,LDS,IMP,9
M31,E1,DSC,IMP,18
M32,E1,DSC,EXP,2
M33,E1,DSC,TRX,29
M34,E1,DSC,IMP,12
M35,E1,DSC,EXP,6
M36,E1,LDS,TRX,22
M37,E1,LDS,EXP,38
M38,E1,DSC,IMP,31
M39,E1,TSM,TRI,3
M40,E1,DSC,IMP,31
M41,E1,DSC,TRI,21
M42,E1,DSC,IMP,5
M43,E1,LDS,TRI,3
M44,E1,TSS,EXP,22
M45,E1,DSC,TRX,5
M46,E1,TSS,TRX,2
M47,E1,TSS,IMP,40
M48,E1,LDS,TRX,38
M49,E1,DSC,IMP,6
M50,E1,DSC,IMP,17
M51,E1,TSS,TRI,25
M52,E1,TSM,TRX,29
M53,E1,LDS,IMP,34
M54,E1,RHL,IMP,20
M55,E1,LDS,TRX,2
M56,E1,DSC,IMP,32
M57,E1,RHL,TRX,17
M58,E1,TSS,TRI,20
M59,E1,DSC,EXP,34
M60,E1,DSC,TRI,29
M61,E1,LDS,EXP,21
M62,E1,LDS,TRI,13
M63,E1,LDS,EXP,14
M64,E1,LDS,TRI,14
M65,E1,DSC,TRX,23
M66,E1,TSS,IMP,5
M67,E1,TSM,TRI,11
M68,E1,DSC,TRX,18
M69,E1,TSM,TRX,25
M70,E1,LDS,TRX,21
M71,E1,LDS,TRX,21
M72,E1,DSC,IMP,18
M73,E1,TSS,IMP,18
M74,E1,LDS,TRI,42
M75,E1,RHL,IMP,42
M76,E1,DSC,TRX,13
M77,E1,DSC,TRI,16
M78,E1,RHL,IMP,41
M79,E1,DSC,IMP,41
M80,E1,LDS,TRI,5
M81,E1,LDS,EXP,31
M82,E1,DSC,IMP,31
M83,E1,LDS,IMP,12
M84,E1,DSC,TRI,35
M85,E1,LDS,EXP,26
M86,E1,TSS,EXP,6
M87,E1,LDS,TRX,9
M88,E1,LDS,EXP,41
M89,E1,TSS,IMP,25
M90,E1,LDS,TRI,30
M91,E1,DSC,EXP,7
M92,E1,LDS,IMP,14
M93,E1,DSC,TRX,6
M94,E1,TSM,TRI,17
M95,E1,TSM,IMP,23
M96,E1,LDS,IMP,29
