voyage,ship,imo,port,source,source_ref,note
ML421E,Meridian Star,97715231,CNSHA,S_ML,ML421E,line-issued voyage number
ML421E,Meridian Star,97715231,CNSHA,S_FE,FE-ML421E,feeder re-keyed voyage number
ML421E,Meridian Star,97715231,CNSHA,S_TE,TC-CNYSHASHARED,terminal call id (composite) [REUSED]
ML420W,Pacific Vanguard,97531122,CNSHA,S_ML,ML420W,line-issued voyage number
ML420W,Pacific Vanguard,97531122,CNSHA,S_FE,FE-ML420W,feeder re-keyed voyage number
ML420W,Pacific Vanguard,97531122,CNSHA,S_TE,TC-CNYSHAL4,terminal call id (composite)
FX118E,Eastern Amethyst,96375110,CNSHA,S_ML,FX118E,line-issued voyage number
FX118E,Eastern Amethyst,96375110,CNSHA,S_FE,FE-FX118E,feeder re-keyed voyage number
FX118E,Eastern Amethyst,96375110,CNSHA,S_TE,TC-CNYSHAX1,terminal call id (composite)
OC202W,Blue Ridge,97100684,CNSHA,S_ML,OC202W,line-issued voyage number
OC202W,Blue Ridge,97100684,CNSHA,S_FE,FE-OC202W,feeder re-keyed voyage number
OC202W,Blue Ridge,97100684,CNSHA,S_TE,TC-CNYSHAC2,terminal call id (composite)
OC203E,Seat of Might,96197809,CNSHA,S_ML,OC203E,line-issued voyage number
OC203E,Seat of Might,96197809,CNSHA,S_FE,FE-OC203E,feeder re-keyed voyage number
OC203E,Seat of Might,96197809,CNSHA,S_TE,TC-CNYSHAC2,terminal call id (composite)
FX119W,Pearl Runner,94528819,CNSHA,S_ML,FX119W,line-issued voyage number
FX119W,Pearl Runner,94528819,CNSHA,S_FE,FE-FX119W,feeder re-keyed voyage number
FX119W,Pearl Runner,94528819,CNSHA,S_TE,TC-CNYSHASHARED,terminal call id (composite) [REUSED]
FU-1101,Jade Breeze,97317624,CNSHA,S_ML,FU-1101,line-issued voyage number
FU-1101,Jade Breeze,97317624,CNSHA,S_FE,FE-FU-1101,feeder re-keyed voyage number
FU-1101,Jade Breeze,97317624,CNSHA,S_TE,TC-CNYSHAU-,terminal call id (composite)
FU-1102,Ripple,94431201,CNSHA,S_ML,FU-1102,line-issued voyage number
FU-1102,Ripple,94431201,CNSHA,S_FE,FE-FU-1102,feeder re-keyed voyage number
FU-1102,Ripple,94431201,CNSHA,S_TE,TC-CNYSHAU-,terminal call id (composite)
FU-1103,Tidepool,98215770,CNSHA,S_ML,FU-1103,line-issued voyage number
FU-1103,Tidepool,98215770,CNSHA,S_FE,FE-FU-1103,feeder re-keyed voyage number
FU-1103,Tidepool,98215770,CNSHA,S_TE,TC-CNYSHAU-,terminal call id (composite)
FU-1104,Wheeltail,96884513,CNSHA,S_ML,FU-1104,line-issued voyage number
FU-1104,Wheeltail,96884513,CNSHA,S_FE,FE-FU-1104,feeder re-keyed voyage number
FU-1104,Wheeltail,96884513,CNSHA,S_TE,TC-CNYSHAU-,terminal call id (composite)
