voyage,role,ship,imo,port,terminal,sched_eta,sched_etd,actual_eta,actual_etd,delay_hrs,status
ML421E,MOTHER,Meridian Star,97715231,CNSHA,CNYSHA,2026-08-14T10:00:00Z,2026-08-15T20:00:00Z,2026-08-14T10:00:00Z,2026-08-15T20:48:33Z,0,OFF
ML420W,MOTHER,Pacific Vanguard,97531122,CNSHA,CNYSHA,2026-08-14T00:15:00Z,2026-08-15T11:15:00Z,2026-08-14T10:15:00Z,2026-08-15T21:04:37Z,10,LATE
FX118E,MOTHER,Eastern Amethyst,96375110,CNSHA,CNYSHA,2026-08-16T10:45:00Z,2026-08-17T22:45:00Z,2026-08-16T20:45:00Z,2026-08-18T08:29:51Z,10,LATE
OC202W,MOTHER,Blue Ridge,97100684,CNSHA,CNYSHA,2026-08-11T13:15:00Z,2026-08-13T09:15:00Z,2026-08-12T03:15:00Z,2026-08-13T22:35:03Z,14,LATE
OC203E,MOTHER,Seat of Might,96197809,CNSHA,CNYSHA,2026-08-15T02:45:00Z,2026-08-16T06:45:00Z,2026-08-15T03:45:00Z,2026-08-16T10:33:34Z,1,LATE
FX119W,MOTHER,Pearl Runner,94528819,CNSHA,CNYSHA,2026-08-12T16:30:00Z,2026-08-14T05:30:00Z,2026-08-13T22:30:00Z,2026-08-15T13:47:53Z,30,LATE
FU-1101,FEEDER,Jade Breeze,97317624,CNSHA,CNYSHA,2026-08-14T06:47:31Z,2026-08-15T04:47:31Z,2026-08-14T08:47:31Z,2026-08-15T06:47:31Z,2,LATE
FU-1102,FEEDER,Ripple,94431201,CNSHA,CNYSHA,2026-08-13T22:09:57Z,2026-08-15T14:09:57Z,2026-08-13T22:09:57Z,2026-08-15T14:09:57Z,0,OFF
FU-1103,FEEDER,Tidepool,98215770,CNSHA,CNYSHA,2026-08-16T06:15:05Z,2026-08-17T04:15:05Z,2026-08-16T06:15:05Z,2026-08-17T04:15:05Z,0,OFF
FU-1104,FEEDER,Wheeltail,96884513,CNSHA,CNYSHA,2026-08-11T12:12:07Z,2026-08-13T04:12:07Z,2026-08-11T12:12:07Z,2026-08-13T04:12:07Z,0,OFF
