update_id,voyage,source,ship,published_at,eta_before,eta_after,delta_hrs,hrs_to_arrival
FU-1101#S_FE#0,FU-1101,S_FE,Jade Breeze,2026-08-10T08:47:31Z,2026-08-14T09:23:31Z,2026-08-13T20:28:35Z,-12.92,96.0
FU-1101#S_FE#1,FU-1101,S_FE,Jade Breeze,2026-08-10T14:47:31Z,2026-08-13T20:28:35Z,2026-08-14T10:18:52Z,13.84,90.0
FU-1101#S_FE#2,FU-1101,S_FE,Jade Breeze,2026-08-10T20:47:31Z,2026-08-14T10:18:52Z,2026-08-14T06:53:56Z,-3.42,84.0
FU-1101#S_FE#3,FU-1101,S_FE,Jade Breeze,2026-08-11T02:47:31Z,2026-08-14T06:53:56Z,2026-08-14T10:04:19Z,3.17,78.0
FU-1101#S_FE#4,FU-1101,S_FE,Jade Breeze,2026-08-11T08:47:31Z,2026-08-14T10:04:19Z,2026-08-14T07:19:39Z,-2.74,72.0
FU-1101#S_FE#5,FU-1101,S_FE,Jade Breeze,2026-08-11T14:47:31Z,2026-08-14T07:19:39Z,2026-08-14T12:51:07Z,5.52,66.0
FU-1101#S_FE#6,FU-1101,S_FE,Jade Breeze,2026-08-11T20:47:31Z,2026-08-14T12:51:07Z,2026-08-14T06:41:49Z,-6.15,60.0
FU-1101#S_FE#7,FU-1101,S_FE,Jade Breeze,2026-08-12T02:47:31Z,2026-08-14T06:41:49Z,2026-08-14T08:53:40Z,2.2,54.0
FU-1101#S_FE#8,FU-1101,S_FE,Jade Breeze,2026-08-12T08:47:31Z,2026-08-14T08:53:40Z,2026-08-14T05:46:40Z,-3.12,48.0
FU-1101#S_FE#9,FU-1101,S_FE,Jade Breeze,2026-08-12T14:47:31Z,2026-08-14T05:46:40Z,2026-08-14T11:19:07Z,5.54,42.0
FU-1101#S_FE#10,FU-1101,S_FE,Jade Breeze,2026-08-12T20:47:31Z,2026-08-14T11:19:07Z,2026-08-14T10:46:34Z,-0.54,36.0
FU-1101#S_FE#11,FU-1101,S_FE,Jade Breeze,2026-08-13T02:47:31Z,2026-08-14T10:46:34Z,2026-08-14T05:51:33Z,-4.92,30.0
FU-1101#S_FE#12,FU-1101,S_FE,Jade Breeze,2026-08-13T08:47:31Z,2026-08-14T05:51:33Z,2026-08-14T09:17:58Z,3.44,24.0
FU-1101#S_FE#13,FU-1101,S_FE,Jade Breeze,2026-08-13T14:47:31Z,2026-08-14T09:17:58Z,2026-08-14T09:33:13Z,0.25,18.0
FU-1101#S_FE#14,FU-1101,S_FE,Jade Breeze,2026-08-13T20:47:31Z,2026-08-14T09:33:13Z,2026-08-14T08:49:18Z,-0.73,12.0
FU-1101#S_ML#0,FU-1101,S_ML,Jade Breeze,2026-07-31T08:47:31Z,2026-08-13T23:42:09Z,2026-08-14T06:45:25Z,7.05,336.0
FU-1101#S_ML#1,FU-1101,S_ML,Jade Breeze,2026-08-01T20:47:31Z,2026-08-14T06:45:25Z,2026-08-14T03:41:54Z,-3.06,300.0
FU-1101#S_ML#2,FU-1101,S_ML,Jade Breeze,2026-08-03T08:47:31Z,2026-08-14T03:41:54Z,2026-08-14T07:59:18Z,4.29,264.0
FU-1101#S_ML#3,FU-1101,S_ML,Jade Breeze,2026-08-04T20:47:31Z,2026-08-14T07:59:18Z,2026-08-14T11:28:16Z,3.48,228.0
FU-1101#S_ML#4,FU-1101,S_ML,Jade Breeze,2026-08-06T08:47:31Z,2026-08-14T11:28:16Z,2026-08-14T10:43:06Z,-0.75,192.0
FU-1101#S_ML#5,FU-1101,S_ML,Jade Breeze,2026-08-07T20:47:31Z,2026-08-14T10:43:06Z,2026-08-14T09:32:55Z,-1.17,156.0
FU-1101#S_ML#6,FU-1101,S_ML,Jade Breeze,2026-08-09T08:47:31Z,2026-08-14T09:32:55Z,2026-08-14T06:14:16Z,-3.31,120.0
FU-1101#S_ML#7,FU-1101,S_ML,Jade Breeze,2026-08-10T20:47:31Z,2026-08-14T06:14:16Z,2026-08-14T11:40:37Z,5.44,84.0
FU-1101#S_ML#8,FU-1101,S_ML,Jade Breeze,2026-08-12T08:47:31Z,2026-08-14T11:40:37Z,2026-08-14T07:46:03Z,-3.91,48.0
FU-1101#S_ML#9,FU-1101,S_ML,Jade Breeze,2026-08-13T20:47:31Z,2026-08-14T07:46:03Z,2026-08-14T09:01:20Z,1.25,12.0
FU-1101#S_TE#0,FU-1101,S_TE,Jade Breeze,2026-08-12T08:47:31Z,2026-08-14T14:44:29Z,2026-08-14T06:13:23Z,-8.52,48.0
FU-1101#S_TE#1,FU-1101,S_TE,Jade Breeze,2026-08-12T11:47:31Z,2026-08-14T06:13:23Z,2026-08-14T10:21:42Z,4.14,45.0
FU-1101#S_TE#2,FU-1101,S_TE,Jade Breeze,2026-08-12T14:47:31Z,2026-08-14T10:21:42Z,2026-08-14T10:54:24Z,0.54,42.0
FU-1101#S_TE#3,FU-1101,S_TE,Jade Breeze,2026-08-12T17:47:31Z,2026-08-14T10:54:24Z,2026-08-14T08:40:13Z,-2.24,39.0
FU-1101#S_TE#4,FU-1101,S_TE,Jade Breeze,2026-08-12T20:47:31Z,2026-08-14T08:40:13Z,2026-08-14T11:25:46Z,2.76,36.0
FU-1101#S_TE#5,FU-1101,S_TE,Jade Breeze,2026-08-12T23:47:31Z,2026-08-14T11:25:46Z,2026-08-14T07:44:39Z,-3.69,33.0
FU-1101#S_TE#6,FU-1101,S_TE,Jade Breeze,2026-08-13T02:47:31Z,2026-08-14T07:44:39Z,2026-08-14T09:28:13Z,1.73,30.0
FU-1101#S_TE#7,FU-1101,S_TE,Jade Breeze,2026-08-13T05:47:31Z,2026-08-14T09:28:13Z,2026-08-14T10:27:03Z,0.98,27.0
